client_id,product_id,price_paid,purchase_date
5,GLS-0054I,19785,1740135310
1,GLS-0071H,19636,1749293710
3,GLS-0004E,10446,1740048910
10,GLS-0005X,14561,1703501710
1,GLS-0045B,27369,1755255310
1,GLS-0026E,26826,1722682510
9,GLS-0078X,14214,1705402510
5,GLS-0087P,23595,1703674510
3,GLS-0026E,24084,1761303310
7,GLS-0070T,24084,1747306510
4,GLS-0036F,25147,1749725710
5,GLS-0055V,2001,1735383310
4,GLS-0042B,2001,1707735310
7,GLS-0054I,16901,1730285710
7,GLS-0016H,16901,1723460110
9,GLS-0069F,21773,1702551310
4,GLS-0059K,21773,1748256910
1,GLS-0062R,15481,1721040910
3,GLS-0092K,15481,1711796110
6,GLS-0033A,16895,1743159310
4,GLS-0070T,16895,1702896910
7,GLS-0069F,19301,1727002510
4,GLS-0040T,1069,1756724110
3,GLS-0027K,13308,1757328910
1,GLS-0027K,1359,1730199310
3,GLS-0063K,13068,1724583310
1,GLS-0027K,17028,1707216910
10,GLS-0078X,17028,1700564110
7,GLS-0075F,20196,1749293710
5,GLS-0033A,22632,1703156110
7,GLS-0045B,16958,1711796110
3,GLS-0045B,22381,1758538510
5,GLS-0098G,26239,1743677710
5,GLS-0026E,26239,1703242510
5,GLS-0070T,27789,1713696910
5,GLS-0015B,13639,1727348110
6,GLS-0013D,11719,1704884110
4,GLS-0032R,26745,1706007310
4,GLS-0054I,12231,1760180110
6,GLS-0006O,14217,1711968910
2,GLS-0039D,21451,1711623310
9,GLS-0055V,2400,1753527310
1,GLS-0061D,10855,1732532110
6,GLS-0070T,10855,1750676110
4,GLS-0010X,28874,1746528910
1,GLS-0068F,28874,1759661710
1,GLS-0024T,28874,1741604110
3,GLS-0001J,28874,1752576910
9,GLS-0040T,24558,1748688910
5,GLS-0074I,24558,1748429710
10,GLS-0069F,19683,1726570510
8,GLS-0010X,18551,1748256910
6,GLS-0002J,18551,1728730510
5,GLS-0014X,18551,1737024910
7,GLS-0062R,23716,1753095310
1,GLS-0010X,12417,1707821710
7,GLS-0099W,25547,1709549710
2,GLS-0065Q,25547,1703415310
2,GLS-0097K,16633,1714215310
10,GLS-0089Z,16633,1740567310
9,GLS-0013D,10463,1718016910
10,GLS-0088L,10463,1737716110
2,GLS-0092K,10463,1758192910
3,GLS-0015B,24903,1725188110
1,GLS-0079I,25397,1732532110
11,GLS-0079I,25397,1732532110
9,GLS-0001J,13489,1713264910
2,GLS-0065Q,13489,1742554510
3,GLS-0010X,22139,1750157710
6,GLS-0054I,29091,1741344910
10,GLS-0011W,29091,1699181710
9,GLS-0023D,15633,1698922510
1,GLS-0022O,23722,1726484110
4,GLS-0073V,28402,1758797710
13,GLS-0073V,28402,1758797710
2,GLS-0073V,28402,1705229710
6,GLS-0057W,23444,1726656910
10,GLS-0064T,21963,1709895310
12,GLS-0064T,21963,1709895310
1,GLS-0028B,21963,1730976910
8,GLS-0082M,11911,1744887310
4,GLS-0088L,30134,1730544910
10,GLS-0057W,1311,1732532110
2,GLS-0051N,1311,1718189710
10,GLS-0040T,17408,1740912910
7,GLS-0073V,17408,1709290510
7,GLS-0081L,17408,1729940110
3,GLS-0077U,25767,1711882510
2,GLS-0007I,2669,1756378510
10,GLS-0007I,2669,1756378510
7,GLS-0031H,2669,1718880910
5,GLS-0014X,1743,1730458510
1,GLS-0023D,1743,1712746510
9,GLS-0084R,27842,1722164110
